,T_groundwater
148,7.61841903566635
149,6.445528706960167
150,7.1904687042306685
151,7.779288135397586
152,7.4788344882200075
153,5.824835225382122
154,5.338130421314824
155,5.895289079642588
156,6.17774107570076
157,6.087575765790481
158,6.305875318727223
159,6.349311936350345
160,5.8850784074384395
161,6.193388106142139
162,6.36434999049044
163,6.388767212081998
164,6.4909496147397245
165,5.924720677684482
166,5.266646681006191
167,5.558745037877029
168,4.628102349062663
169,6.1191660686207126
170,6.953640336342241
171,5.60322903249222
172,5.346927443737893
173,5.805223651376547
174,5.7694388085295145
175,6.00589380630246
176,5.986117606690127
177,5.960458353336442
178,4.6108611490393185
179,1.409548611111111
180,2.0829097601504296
181,1.685631964447552
182,2.212332884467907
183,3.4423521396358012
184,4.831244364085065
185,5.222758373598769
186,5.596753832626782
187,5.335867921381111
188,5.693744503008908
189,5.177673013065153
190,4.633137071284892
191,3.528710315654812
192,5.288174458783968
193,4.99919984435115
194,5.591296836961952
195,5.259079712082002
196,5.316433323823769
197,4.560054772808807
198,3.4993145185495518
199,3.5625063807947885
200,5.0569169853938885
201,4.027853543568256
202,2.2805188534785357
203,2.7001501907536953
204,3.7699012546481576
205,3.280217169826568
206,3.2777928215533416
207,4.546996468730919
208,5.182265579230669
209,5.683245720849057
210,5.7808322301107955
211,6.677274381140512
212,6.3567656657134295
213,4.631971573373184
214,5.1850018160606695
215,5.560986719475345
216,6.117730003390424
217,7.495500450921334
218,9.599149966746586
219,6.814085802058063
220,6.3592219462399004
221,7.583159685275184
222,8.39144454910179
223,8.243441314583194
224,7.599729841871119
225,8.775924521936975
226,8.464028446382198
227,7.56229452174882
228,8.163419917218253
229,7.47017106791942
230,7.118473956067643
231,7.711789114377594
232,8.14038246286049
233,7.402332256782251
234,7.202313812448228
235,8.639793955257971
236,9.2527810233622
237,10.802720704698721
238,10.53769048518399
239,10.538927430281394
240,10.495828188834015
241,9.970705941383015
242,10.422575126303773
243,10.571040332647526
244,11.153067137465142
245,10.371940443167286
246,9.666188092697782
247,10.44031004029652
248,10.475368633406367
249,10.876905283500623
250,10.580669636940877
251,9.987515412530723
252,9.633886516875158
253,11.134178159766623
254,11.86320213626315
255,11.378235442123934
256,12.148186944823308
257,12.903423776808465
258,13.303826895444189
259,12.862923031865284
260,13.360558306513491
261,13.608002400246152
262,13.347254114348866
263,12.987673319450748
264,12.291050404451955
265,11.316918781017993
266,12.74286738808354
267,14.085026807475964
268,14.26872899065681
269,14.089271152135778
270,14.029103274000157
271,15.058696166002806
272,15.06622897009628
273,13.306200276078402
274,13.880851737236842
275,13.554925019324603
276,13.502536805087503
277,14.485130187675384
278,14.022655230713704
279,14.017874528367294
280,14.488828487617473
281,15.098870054973037
282,14.92419944316968
283,15.051607191189595
284,14.353821390933454
285,12.912771580543348
286,12.570109582153188
287,12.864709506287449
288,13.706799700684776
289,14.843240532433985
290,14.902316058976785
291,14.58140764353146
292,14.924424514936252
293,14.978921827466642
294,15.545579831736562
295,15.880808045570932
296,16.355599424848567
297,16.75136370098051
298,17.57537877391187
299,17.69030460509004
300,18.4219957215094
301,18.370091497497896
302,18.56114115868876
303,18.669610730398485
304,18.44566081929859
305,18.269660506158093
306,17.419548460766297
307,17.23072877903518
308,17.59346682005766
309,18.28604893200973
310,17.735546344673164
311,17.393336006355316
312,17.880413087427474
313,18.237911817147037
314,18.65731382042938
315,18.797114787901723
316,18.391678645904495
317,19.237001448661587
318,19.162239159285186
319,18.505228486280746
320,18.503459108884705
321,18.25518479123381
322,18.065256718698652
323,18.797380445269347
324,19.186268674214656
325,20.417328760902624
326,19.442114104448677
327,19.264088039301292
328,19.80806828231999
329,20.6896713797896
330,20.530069654369676
331,20.822484263089617
332,20.79659492194436
333,20.817671852645347
334,20.678416062637368
335,20.625348236158253
336,20.22547540300753
337,19.93087427391219
338,19.5557745758225
339,18.966836831581546
340,19.066312083967986
341,19.65072245300037
342,20.316069470947042
343,20.035264639485405
344,20.036601653454657
345,20.504624457868125
346,20.125786971518178
347,20.296960032728773
348,20.404771678366455
349,19.92300297833155
350,19.46727553664045
351,19.83064177020972
352,20.610147409786087
353,20.749192611911095
354,21.071386126364537
355,22.198427241308536
356,20.954793283910096
357,21.438399343108372
358,21.7511538256378
359,22.12812512308447
360,21.747958278864868
361,22.323847210682132
362,21.367249988459918
363,20.16393050108709
364,20.228819567528916
